"IYear","NMFS.Name","n","Confidentiality","Dollars","Metric.Tons"
2007,"ALEWIFE",1,"Public",252.058,1
2007,"CLAM, QUAHOG, OCEAN",1,"Public",13293826.5,9602
2007,"CLAM, SURF, ATLANTIC",1,"Public",1623863.75,832
2007,"MACKEREL, ATLANTIC",1,"Public",6000276.0055,23025
2007,"MENHADENS **",1,"Public",533070.69,2546
2007,"PORGIES **",1,NA,NA,NA
2007,"SCUP",1,"Public",4103227.22,2401
2007,"SHARK, DOGFISH, SPINY",1,"Public",763404.58,1562
2007,"SKATES, RAJIDAE (FAMILY) **",1,"Public",6285419.215,12000
2007,"SQUID, LONGFIN LOLIGO",1,"Public",15796797.571,8425
2007,"SQUID, SHORTFIN ILLEX",1,"Public",1914665.81,3560
2007,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",1,NA,NA,NA
2008,"ALEWIFE",1,"Public",254671.35,535
2008,"CLAM, QUAHOG, OCEAN",1,"Public",11770478.5,8526
2008,"CLAM, SURF, ATLANTIC",1,"Public",2279687.73,1049
2008,"FLOUNDER, WINTER",1,"Public",8778673.37,2136
2008,"HAKE, SILVER",1,"Public",5049113.63,3969
2008,"MACKEREL, ATLANTIC",1,"Public",5264776.9858,17399
2008,"PORGIES **",1,"Public",2430,0
2008,"SHARKS, DOGFISH **",1,NA,NA,NA
2008,"SQUID, LONGFIN LOLIGO",1,"Public",15700627.0279,7647
2008,"SQUID, SHORTFIN ILLEX",1,"Public",4148151.65,5334
2008,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",1,NA,NA,NA
2008,"VERTEBRATES, JAWED",1,"Public",1,0
2009,"ALEWIFE",1,"Public",1759.695,4
2009,"CLAM, QUAHOG, OCEAN",1,"Public",12531189.45,8730
2009,"CLAM, SURF, ATLANTIC",1,"Public",4877070.12,2099
2009,"FLOUNDER, WINTER",1,"Public",7844571.17,2143
2009,"PORGIES **",1,NA,NA,NA
2009,"SCALLOP, SEA",1,"Public",209236922.75,14340
2009,"SKATES, RAJIDAE (FAMILY) **",1,"Public",4514410.524,10739
2009,"SQUID, LONGFIN LOLIGO",1,"Public",11479301.2044,5755
2009,"SQUID, SHORTFIN ILLEX",1,"Public",5216717.89,6952
2009,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",1,NA,NA,NA
2009,"VERTEBRATES, JAWED",1,NA,NA,NA
2010,"CLAM, QUAHOG, OCEAN",1,"Public",10694716,7345
2010,"CLAM, SURF, ATLANTIC",1,"Public",8235891.81,4449
2010,"FLOUNDER, WINTER",1,"Public",6828533.08,1555
2010,"FLOUNDER, YELLOWTAIL",1,"Public",4097093.27,1294
2010,"HAKE, SILVER",1,"Public",7674571.87,5736
2010,"MENHADENS **",1,"Public",629893.99,2299
2010,"SQUID, LONGFIN LOLIGO",1,"Public",9622501.895,4209
2010,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",1,NA,NA,NA
2010,"VERTEBRATES, JAWED",1,"Public",20156.02,11
2011,"ALEWIFE",1,"Public",1632.7269,2
2011,"CLAM, QUAHOG, OCEAN",1,"Public",2116816,293
2011,"CLAM, SURF, ATLANTIC",1,"Public",10014046.44,5290
2011,"FLOUNDER, WINTER",1,"Public",7929564.58,2075
2011,"FLOUNDER, YELLOWTAIL",1,"Public",4707922.03,1810
2011,"HAKE, SILVER",1,"Public",8294504.15,6009
2011,"MACKEREL, ATLANTIC",1,"Public",295261.88,414
2011,"MENHADENS **",1,"Public",109495.48,90
2011,"REDFISH, ACADIAN",1,"Public",2746322.23,2011
2011,"SCUP",1,"Public",4520535.96,3730
2011,"SKATES, RAJIDAE (FAMILY) **",1,"Public",3084281.92,4790
2011,"SQUID, LONGFIN LOLIGO",1,"Public",13847610.31,5364
2011,"VERTEBRATES, JAWED",1,"Public",5.48,0
2012,"ALEWIFE",1,"Public",778.1956,1
2012,"CLAM, QUAHOG, OCEAN",1,"Public",1736987,317
2012,"CLAM, SURF, ATLANTIC",1,"Public",15410231.5,8002
2012,"FLOUNDER, WINTER",1,"Public",10273066.36,2367
