Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2021,CONNECTICUT,"BASS, BLACK SEA","116,070",53,"411,151",Public,Commercial,Centropristis striata,167687,ACCSP
2021,CONNECTICUT,"BASS, STRIPED","6,704",3,"34,267",Public,Commercial,Morone saxatilis,167680,ACCSP
2021,CONNECTICUT,BLUEFISH,"37,394",17,"42,596",Public,Commercial,Pomatomus saltatrix,168559,ACCSP
2021,CONNECTICUT,"BONITO, ATLANTIC",46,0,55,Public,Commercial,Sarda sarda,172409,ACCSP
2021,CONNECTICUT,BUTTERFISH,"106,553",48,"109,647",Public,Commercial,Peprilus triacanthus,172567,ACCSP
2021,CONNECTICUT,"CARP, COMMON",90,0,36,Public,Commercial,Cyprinus carpio,163344,ACCSP
2021,CONNECTICUT,"CATFISH, BLUE",214,0,93,Public,Commercial,Ictalurus furcatus,163997,ACCSP
2021,CONNECTICUT,"CATFISHES, BULLHEAD **",776,0,830,Public,Commercial,Ictaluridae,163995,ACCSP
2021,CONNECTICUT,COBIA,11,0,51,Public,Commercial,Rachycentron canadum,168566,ACCSP
2021,CONNECTICUT,"COD, ATLANTIC","2,277",1,"5,029",Public,Commercial,Gadus morhua,164712,ACCSP
2021,CONNECTICUT,CONCHS **,"186,008",84,"919,143",Public,Commercial,Strombidae,72554,ACCSP
2021,CONNECTICUT,"CRAB, BLUE",803,0,"1,024",Public,Commercial,Callinectes sapidus,98696,ACCSP
2021,CONNECTICUT,"CRAB, GREEN","56,885",26,"23,158",Public,Commercial,Carcinus maenas,98734,ACCSP
2021,CONNECTICUT,"CRAB, HORSESHOE","47,238",21,"30,561",Public,Commercial,Limulus polyphemus,82703,ACCSP
2021,CONNECTICUT,"CRAB, JONAH",364,0,364,Public,Commercial,Cancer borealis,98678,ACCSP
2021,CONNECTICUT,"CRABS, HERMIT, PAGURUS (GENUS) **",47,0,47,Public,Commercial,Pagurus,97775,ACCSP
2021,CONNECTICUT,CUNNER,2,0,1,Public,Commercial,Tautogolabrus adspersus,170481,ACCSP
2021,CONNECTICUT,DOLPHINFISH **,336,0,"1,268",Public,Commercial,Coryphaena spp.,168790,ACCSP
2021,CONNECTICUT,"DORY, BUCKLER",581,0,967,Public,Commercial,Zenopsis conchifera,166284,ACCSP
2021,CONNECTICUT,"EEL, AMERICAN","5,168",2,"17,656",Public,Commercial,Anguilla rostrata,161127,ACCSP
2021,CONNECTICUT,"EEL, CONGER",218,0,195,Public,Commercial,Conger oceanicus,161326,ACCSP
2021,CONNECTICUT,"FLOUNDER, AMERICAN PLAICE","3,504",2,"4,022",Public,Commercial,Hippoglossoides platessoides,172877,ACCSP
